# M_star [M_sun], T_star [K], M_disk [M_sun], alpha, R [au], T_disk [K], Sigma_gas [g/cm^2], eps, afrag [cm], OmegaK [1/s], tgr [s]
1.300000000000000044e+00,4.596000000000000000e+03,6.500000000000000222e-02,9.452362249813222803e-03,6.420622019676929426e+01,7.305774249211710014e+01,1.194652524908326852e+00,1.573763395119064448e-02,6.206238595918900369e-03,4.412388248804150739e-10,1.440080736705008545e+11
8.999999999999998279e-02,2.861000000000000000e+03,4.499999999999999660e-03,1.322490783221948402e-03,4.058072172189250426e-01,3.231127382785480791e+02,1.327872774667833866e+01,3.337849071319345939e-02,1.115149959617331155e-01,2.310517720683242617e-07,1.296653692527444661e+08
1.399999999999999911e+00,4.647000000000000000e+03,6.999999999999999278e-02,8.401246372419499120e-03,4.652423552817847252e+01,8.841246646413205212e+01,2.151499904730303836e+00,5.942757376971451455e-01,1.039122217923603951e-02,7.423570687882942282e-10,2.266726656430695534e+09
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,7.787744779242353243e-04,3.739935763426320836e+00,2.376282133038153574e+02,1.521677022939918444e+01,4.047694341358172854e-01,2.957009145161543784e-01,2.303140883370419951e-08,1.072683957871578038e+08
1.300000000000000044e+00,4.596000000000000000e+03,6.500000000000000222e-02,6.552011156400646937e-04,6.841578906199433163e+01,7.077531178851656080e+01,1.067207881075293407e+00,1.161740781105243935e-03,8.625874572196746970e-02,4.011482157032479825e-10,2.145783494411160889e+12
2.999999999999999889e-02,2.666000000000000000e+03,1.500000000000000031e-03,1.724200359112922293e-03,5.323263476282766860e-01,1.934991306058026339e+02,3.511482321583095256e+00,7.725850519303475439e-01,3.778177797871466737e-02,8.878945351220485057e-08,1.457781101955971122e+07
5.999999999999999778e-02,2.807000000000000000e+03,3.000000000000000062e-03,4.160084831317871186e-04,4.567932029461919119e-01,2.605052241053734292e+02,8.002578099926656918e+00,6.834190872114825899e-01,2.668919756179896630e-01,1.579660922027461398e-07,9.262943634237235412e+06
5.999999999999999778e-02,2.807000000000000000e+03,3.000000000000000062e-03,2.156557466575647827e-03,6.322380608416896308e+00,7.002947213209655786e+01,8.145734799558463912e-01,4.017852242790252715e-02,1.942213067940040672e-02,3.067766981393523710e-09,8.113040981821004868e+09
7.499999999999998335e-02,2.835000000000000000e+03,3.749999999999999861e-03,4.738533377585604778e-03,2.779628375282718000e+00,1.143266838270086936e+02,2.116115154526404751e+00,1.385487392202706114e-01,1.401495265824389408e-02,1.176571233638612026e-08,6.134500354890259504e+08
2.999999999999999889e-01,3.460000000000000000e+03,1.499999999999999944e-02,9.674455321093862752e-05,4.731865160065122367e-01,5.104993852075679115e+02,3.882726714898988263e+01,1.021250176236764354e-03,2.930391807418713412e+00,3.350269824248854514e-07,2.922725776880905628e+09
1.000000000000000021e-02,2.387000000000000000e+03,5.000000000000000104e-04,7.244829227716748608e-04,1.329544649608507489e+00,8.220022608834081268e+01,5.344802894332709720e-01,1.367702889852099868e-01,3.303807070523016864e-02,1.298713362260465940e-08,5.629825405029839277e+08
1.000000000000000000e+00,4.397000000000000000e+03,5.000000000000000278e-02,6.402446116786993276e-03,1.839855808792645542e+00,3.889676817246722180e+02,4.038730079937140260e+01,2.113523798929404802e-03,5.817071454495747335e-02,7.977962976120985634e-08,5.930630148498575211e+09
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,7.096137945987368491e-04,2.315965881594356013e+00,2.529932992376085679e+02,1.323214256157849178e+01,4.069215167200215095e-04,2.651000528865546380e-01,3.572723929965982834e-08,6.878438942424711609e+10
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,4.027922181801555442e-04,4.485654293300284645e-01,5.748598037243305043e+02,5.418412403664843424e+01,9.098747311446746255e-02,8.407381873706193387e-01,4.191398899466451344e-07,2.622161284830713645e+07
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,1.076925772846457898e-03,4.536092764978507108e-01,6.450642160601147452e+02,8.050467947128530000e+01,1.816146342775354361e-01,4.157429737094687217e-01,5.048012630980232545e-07,1.090758802824879251e+07
4.000000000000000083e-02,2.731000000000000000e+03,2.000000000000000042e-03,4.084130929669409216e-03,2.567486306458267808e+00,9.478515627234195051e+01,1.209595799744739963e+00,4.234804658607271149e-02,1.121424137247063225e-02,9.679111451192060046e-09,2.439670232559875965e+09
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,1.431515155296136368e-03,9.045619739313016439e+00,8.288118488196678868e+01,1.461137024345093405e+00,2.200232087074992932e-02,4.445384769924737300e-02,2.834365402383495072e-09,1.603524751418303680e+10
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,7.743294522896265741e-03,9.664194143611778998e+01,5.772063394129960301e+01,4.887085695208684966e-01,4.365495735141347589e-03,3.923724487837051966e-03,2.295672084076258745e-10,9.978300496923728027e+11
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,4.143194299806192134e-04,8.538900055156877222e-01,2.697437202788504464e+02,1.172293976002166360e+01,1.356059150885723617e-02,3.789433174404010507e-01,9.772606972513480450e-08,7.545898049533280134e+08
2.999999999999999889e-02,2.666000000000000000e+03,1.500000000000000031e-03,4.580611204798260873e-03,5.176729831450099795e+00,6.206013171346552326e+01,4.881117650402436170e-01,8.062173228020752189e-03,6.165560169450079453e-03,2.927824738797911716e-09,4.236456959706284332e+10
1.399999999999999911e+00,4.647000000000000000e+03,6.999999999999999278e-02,5.735144505229702871e-03,1.697647522521478880e+00,4.628194693956273795e+02,6.061356996517936579e+01,2.429077428413297518e-02,8.190910037697385349e-02,1.065026541067452093e-07,3.865433541030497551e+08
